Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,18,35,1,0,2.569,1
2,1,18,35,1,0,2.3717,0
3,1,10,90,0.068,1,1.2777,0
4,2,10,90,0.068,1,1.5202,1
5,2,4,35,1,0,0.94687,1
6,1,4,35,1,0,1.3641,1
7,2,18,75,0.068,1,1.3867,1
8,1,18,75,0.068,1,3.1368,1
9,1,10,35,1,1,2.6744,0
10,2,10,35,1,0,1.3504,1
11,2,4,75,1,1,1.0867,1
12,1,4,75,1,0,2.1884,1
13,1,10,25,0.5,1,2.3338,0
14,1,18,35,0.5,0,6.8611,0
15,1,15,90,0.5,1,1.0857,1
16,2,10,25,0.5,0,1.2128,1
17,1,10,25,1,0,4.723,1
18,1,15,18,1,0,2.4185,0
19,1,21,75,0.068,0,0.978,0
20,2,18,35,0.5,0,0.41771,1
21,2,15,90,0.5,0,0.15204,0
22,1,7,65,0.5,0,0.37371,1
23,1,4,35,1,0,0.75383,1
24,2,10,25,1,0,0.33829,1
25,1,7,75,0.068,0,1.7249,1
26,2,15,18,1,0,0.12242,1
27,1,18,75,0.068,0,1.642,0
28,2,21,75,0.068,1,0.95047,1
29,1,4,90,0.068,0,1.2055,1
30,2,7,65,0.5,1,1.0686,1
31,2,4,35,1,0,1.5986,1
32,1,10,65,0.068,0,6.068,1
33,1,15,18,0.068,0,4.9734,0
34,2,7,75,0.068,1,1.2261,1
35,1,15,65,0.5,1,1.6931,1
36,1,21,75,1,1,4.4783,1
37,2,18,75,0.068,1,2.7586,1
38,1,4,35,0.068,1,12.1222,0
39,2,4,90,0.068,1,1.4342,1
40,1,18,35,1,1,7.8585,1
41,1,21,75,1,1,0.53611,1
42,2,10,65,0.068,0,14.4902,0
43,2,15,18,0.068,0,10.0546,1
44,1,10,18,0.5,1,14.3119,0
45,1,18,90,0.5,1,1.5834,1
46,2,15,65,0.5,1,1.0155,1
47,2,21,75,1,1,1.1235,1
48,1,7,25,1,0,1.4141,1
49,1,21,35,0.5,1,1.2776,1
50,1,10,65,0.5,1,5.0897,0
51,2,4,35,0.068,0,1.6458,1
52,1,7,75,0.5,1,1.9361,0
53,2,18,35,1,0,1.4862,1
54,1,15,18,0.5,1,2.3153,1
55,2,21,75,1,1,1.114,1
56,2,10,18,0.5,1,13.5705,0
57,1,4,35,0.5,0,1.506,1
58,2,18,90,0.5,1,42.7367,1
59,2,7,25,1,0,1.1817,1
60,1,15,18,0.5,1,11.6668,1
61,2,21,35,0.5,1,0.84316,0
62,2,10,65,0.5,1,0.86106,1
63,2,7,75,0.5,1,0.94956,1
64,1,15,90,0.068,1,0.95124,1
65,2,15,18,0.5,0,0.79576,1
66,2,4,35,0.5,0,0.77308,1
67,1,21,25,0.068,1,0.6523,1
68,2,15,18,0.5,0,0.70442,1
69,1,21,35,1,1,0.85687,1
70,2,15,90,0.068,1,0.77249,1
71,1,21,18,0.5,1,1.4588,1
72,2,21,25,0.068,1,1.2666,0
73,1,21,75,0.068,1,0.5838,1
74,1,4,35,0.5,0,0.90327,1
75,2,21,35,1,1,0.60762,0
76,1,7,25,0.068,0,1.0303,1
77,2,21,18,0.5,1,0.0025583,0
78,2,21,75,0.068,1,0.70292,1
79,2,4,35,0.5,1,0.55234,0
80,1,7,18,0.068,0,0.39103,1
81,2,7,25,0.068,0,0.39676,1
82,2,7,18,0.068,0,0.36999,1
83,2,18,75,0.5,1,0.020171,1
84,2,4,75,0.068,0,0.97128,0
85,2,7,18,0.5,0,0.96451,1
86,2,4,75,0.5,1,0.78451,1
87,2,18,75,1,1,0.36493,1
88,2,7,18,1,0,0.60728,1
89,2,18,90,1,1,0.40647,1
90,2,15,90,1,1,0.47999,1
91,2,18,65,0.5,1,0.44019,1
92,2,15,90,0.5,1,0.43846,1
93,1,18,75,0.5,1,0.4256,1
94,2,18,35,0.5,0,0.42567,1
95,1,4,75,0.068,0,0.86542,1
96,2,4,90,1,0,1.281,0
97,1,7,18,0.5,0,0.71188,1
98,2,10,25,1,1,0.63963,0
99,1,4,75,0.5,1,0.65992,0
100,1,18,75,1,1,0.002644,1
101,1,7,18,1,0,0.86604,1
102,2,4,90,0.5,1,0.58097,1
103,1,18,90,1,1,0.41728,1
104,1,15,90,1,1,0.53574,1
105,1,18,65,0.5,1,0.57267,1
106,2,21,75,0.5,1,0.79286,1
107,1,15,90,0.5,1,0.43037,1
108,2,15,65,1,0,0.47546,0
109,2,10,65,1,1,0.43325,1
110,2,7,25,1,0,0.46857,1
111,2,21,65,1,1,0.0024106,1
112,2,21,35,0.068,1,2.265,0
113,1,18,35,0.5,0,0.70884,0
114,2,15,90,0.068,1,0.28288,1
115,2,7,65,0.068,1,0.51967,1
116,1,4,90,1,1,1.6417,0
117,1,10,25,1,1,0.28187,0
118,1,4,90,0.5,1,0.0026137,0
119,2,18,35,0.068,1,0.45702,0
120,1,21,75,0.5,1,0.43457,1
121,1,15,65,1,1,0.33381,1
122,1,10,65,1,0,0.32173,1
123,1,7,25,1,1,0.32062,0
124,2,4,25,1,1,0.31086,0
125,2,10,25,0.068,1,0.64153,0
126,1,21,65,1,1,1.7884,1
127,2,18,75,1,1,0.43092,1
128,1,21,35,0.068,1,0.9236,1
129,2,7,25,0.5,0,0.6812,1
130,2,15,18,1,0,2.6493,1
131,2,18,65,1,0,0.57771,0
132,2,7,90,0.5,1,0.3277,1
133,1,15,90,0.068,1,0.40115,1
134,1,7,65,0.068,0,0.29679,1
135,1,18,35,0.068,0,0.40452,0
136,2,4,25,0.068,1,0.35929,0
137,2,7,90,0.068,0,0.24899,0
138,1,4,25,1,1,0.77947,0
139,1,10,25,0.068,0,0.31595,1
140,1,18,75,1,0,0.40551,0
141,1,7,25,0.5,1,0.62946,0
142,2,21,25,1,1,1.1699,0
143,2,10,18,0.068,0,0.62973,1
144,2,15,90,1,1,0.30023,1
145,1,15,18,1,0,0.33267,0
146,1,18,65,1,1,0.50947,1
147,2,21,65,0.5,1,0.71183,1
148,2,10,18,1,0,0.34861,1
149,2,10,90,0.5,1,0.8833,1
150,1,7,90,0.5,1,0.40485,0
151,1,4,25,0.068,0,1.0788,1
152,1,7,90,0.068,0,1.0861,1
153,1,21,25,1,0,0.40937,0
154,1,10,18,0.068,0,0.64446,1
155,1,15,90,1,1,1.0751,1
156,2,7,75,1,0,0.4916,0
157,2,4,65,0.068,0,0.43582,0
158,2,4,35,0.068,0,0.75865,1
159,1,21,65,0.5,1,0.4067,1
160,1,10,18,1,0,0.35298,1
161,2,21,18,0.068,0,0.74362,1
162,2,7,90,1,0,0.49522,0
163,1,10,90,0.5,0,0.0027255,1
164,2,15,18,1,0,0.67858,1
165,1,7,75,1,0,0.33486,1
166,2,15,18,0.068,0,0.30759,1
167,1,4,65,0.068,1,0.17769,0
168,1,4,35,0.068,0,0.23174,1
169,1,21,18,0.068,0,0.27728,0
170,2,18,35,0.068,1,0.41761,0
171,1,7,90,1,1,0.50794,0
172,1,15,18,1,1,0.0025487,1
173,1,15,18,0.068,1,0.4907,1
174,2,7,25,0.068,1,0.46703,0
175,1,18,35,0.068,1,0.5902,1
176,1,7,25,0.068,0,0.84073,1
177,2,15,18,0.068,0,1.685,1
178,2,7,25,0.5,0,0.65838,1
179,1,15,18,0.068,1,0.50783,1
180,1,7,25,0.5,1,2.8735,0
181,1,18,90,0.068,1,0.83227,1
182,2,18,90,0.068,1,0.66364,1
183,2,21,65,0.068,1,2.0561,1
184,1,21,65,0.068,1,0.96008,1
185,1,4,65,1,1,0.55483,0
186,2,4,65,1,1,0.48918,1
187,2,4,65,0.5,1,2.9319,1
188,2,21,18,1,1,0.53459,0
189,2,15,18,0.5,1,4.6613,0
190,1,4,65,0.5,1,0.12948,0
191,1,21,18,1,1,0.95254,1
192,1,15,18,0.5,1,1.7357,1
193,1,4,25,0.5,1,1.1513,0
194,1,10,35,0.5,1,0.0028291,0
195,2,4,25,0.5,0,5.9374,1
196,2,10,35,0.5,0,7.532,1
197,2,10,25,0.5,0,1.533,1
198,2,15,65,0.068,0,4.5542,0
199,1,10,25,0.5,1,0.0026175,0
200,2,21,25,0.5,0,3.524,1
201,1,15,65,0.068,0,0.49214,0
202,2,18,65,0.068,0,1.8253,0
203,2,18,75,0.5,0,0.10545,0
204,1,21,25,0.5,0,0.33109,0
205,1,18,65,0.068,1,0.77411,1
206,1,18,75,0.5,1,0.0033882,1
207,1,10,90,1,0,0.34329,1
208,1,7,65,1,1,0.24636,0
209,2,10,90,1,1,0.65858,1
210,2,7,65,1,0,0.66422,0
211,1,10,25,0.068,1,0.6586,0
212,1,21,75,0.5,1,0.6371,1
213,1,10,35,0.068,1,0.58081,0
214,2,10,25,0.068,1,0.32552,0
215,2,21,75,0.5,1,0.0033499,1
216,2,10,35,0.068,1,0.40767,0
