Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,4,35,0.5,0,20.3725,1
2,1,4,35,0.5,1,7.5926,0
3,2,18,90,1,1,44.6935,1
4,2,4,75,0.5,0,39.1296,0
5,1,18,90,1,1,33.333,1
6,2,10,18,0.5,0,36.4303,1
7,2,15,35,0.068,1,37.5094,0
8,1,4,75,0.5,0,9.6519,1
9,1,10,18,0.5,1,26.2896,0
10,1,15,35,0.068,1,93.4837,1
11,2,15,65,0.5,1,85.2732,1
12,1,15,65,0.5,1,32.2627,1
13,1,7,75,0.5,0,24.683,1
14,2,7,75,0.5,1,86.6234,1
15,2,18,90,0.068,1,27.393,1
16,1,18,90,0.068,1,21.4368,1
17,2,4,75,1,0,8.6614,0
18,1,4,75,1,1,24.7587,0
19,1,15,65,0.068,1,14.738,1
20,1,15,35,1,1,56.0874,1
21,2,15,65,0.068,1,37.4849,1
22,2,15,35,1,0,26.6182,1
23,1,18,18,1,1,28.6148,1
24,1,21,18,0.068,0,31.2725,0
25,1,10,25,0.5,0,17.2318,1
26,1,7,25,0.5,0,25.7472,1
27,2,18,18,1,1,8.6776,0
28,2,21,18,0.068,1,62.0463,0
29,2,10,25,0.5,0,246.9063,1
30,2,7,25,0.5,0,10.9893,1
31,1,15,65,1,1,33.8238,1
32,2,15,65,1,0,61.6986,0
33,1,10,25,0.068,0,31.8776,1
34,1,10,25,1,0,22.8121,1
35,2,10,25,0.068,1,42.851,0
36,1,10,90,0.5,1,24.4772,0
37,1,7,75,0.068,0,27.6679,1
38,2,10,25,1,0,13.1911,1
39,2,10,90,0.5,1,5.3474,1
40,2,7,75,0.068,0,18.1661,0
41,2,21,35,0.068,1,27.9913,0
42,1,21,35,0.068,0,56.5588,0
43,1,7,65,0.068,0,6.8436,1
44,2,7,65,0.068,1,20.7949,1
45,2,21,90,0.068,1,7.7666,1
46,2,18,18,0.5,0,25.7376,1
47,2,18,90,0.5,1,12.4964,1
48,1,21,90,0.068,0,33.6223,0
49,1,18,18,0.5,0,26.127,0
50,2,15,75,0.068,1,5.4486,1
51,1,18,90,0.5,1,26.2619,1
52,1,15,75,0.068,1,20.5911,1
53,1,7,18,0.5,0,10.8297,1
54,1,18,90,1,1,8.9871,1
55,2,7,18,0.5,1,16.5825,0
56,2,18,90,1,1,6.7733,1
57,2,21,18,0.5,0,6.3165,1
58,1,21,18,0.5,1,117.9745,1
59,1,4,18,0.068,0,11.1247,1
60,2,4,18,0.068,0,19.2135,1
61,1,10,65,0.068,1,11.9473,0
62,1,21,35,1,1,20.3395,1
63,1,7,90,1,0,4.4759,1
64,2,10,65,0.068,1,27.7926,1
65,2,21,35,1,1,15.1391,0
66,1,15,25,0.5,1,57.6417,1
