Trial Number,TrialTypeN1S2,Nvalue,Svalue,time,KeyPressZsmallMgreater,ReactionTime,Accuracy
1,2,18,35,0.068,1,3.5061,0
2,1,18,35,0.068,1,2.8281,1
3,1,4,65,1,0,0.48554,1
4,2,4,65,1,1,2.4349,1
5,1,7,90,0.5,1,2.1708,0
6,1,21,18,0.068,1,1.4049,1
7,2,7,90,0.5,1,0.56321,1
8,1,21,90,0.068,1,1.2841,1
9,2,21,18,0.068,0,1.2622,1
10,1,18,65,0.068,1,1.5779,1
11,2,21,90,0.068,1,0.80606,1
12,1,15,90,1,0,3.2321,0
13,2,18,65,0.068,1,0.80883,1
14,2,15,90,1,1,2.6573,1
15,1,18,65,0.5,0,2.2175,0
16,1,7,65,0.5,0,2.2474,1
17,1,15,65,0.068,1,11.0415,1
18,2,18,65,0.5,1,2.706,1
19,1,21,18,1,1,4.7589,1
20,2,7,65,0.5,0,0.87477,0
21,2,15,65,0.068,1,1.9448,1
22,2,21,18,1,0,5.4187,1
23,2,10,75,0.068,1,4.6486,1
24,2,18,18,1,0,1.5158,1
25,1,10,75,0.068,1,1.2578,0
26,2,18,35,1,1,2.289,0
27,1,18,18,1,1,2.2426,1
28,1,18,35,1,1,1.0893,1
29,2,7,35,0.5,1,1.5538,0
30,1,7,35,0.5,0,4.3998,1
31,2,4,75,1,1,1.1272,1
32,1,4,75,1,1,3.8916,0
33,2,21,18,1,0,1.4435,1
34,1,21,18,1,1,1.1622,1
35,1,4,75,0.068,0,1.2821,1
36,1,4,65,0.5,0,3.894,1
37,2,4,75,0.068,1,1.1399,1
38,2,4,65,0.5,1,1.1245,1
39,2,15,25,0.068,1,39.6543,0
40,2,21,90,0.5,1,34.3226,1
41,2,4,75,0.5,0,5.3812,0
42,1,15,25,0.068,1,5.0586,1
43,2,4,75,1,1,1.4595,1
44,2,10,75,1,1,2.39,1
45,1,21,90,0.5,1,1.941,1
46,2,15,18,0.5,0,0.70709,1
47,2,7,65,1,1,2.3589,1
48,2,10,25,0.068,0,1.8472,1
49,1,4,75,0.5,0,3.2829,1
50,2,4,90,0.068,1,1.2669,1
51,2,7,35,0.5,0,0.78412,1
52,1,4,75,1,0,1.9736,1
53,2,21,18,0.5,0,2.9553,1
54,2,10,75,1,1,2.778,1
55,2,15,65,0.5,1,1.2613,1
56,2,4,65,0.068,0,1.2667,0
57,1,10,75,1,0,122.8967,1
58,1,15,18,0.5,1,2.826,1
59,2,18,90,0.068,1,0.93229,1
60,2,7,25,0.068,0,1.0434,1
61,1,7,65,1,0,0.61786,1
62,2,7,35,0.068,1,0.81676,0
63,2,18,75,1,1,2.3875,1
64,1,10,25,0.068,0,0.9584,1
65,1,4,90,0.068,0,1.7604,1
66,1,7,35,0.5,0,1.6481,1
67,1,21,18,0.5,0,0.64926,0
68,1,10,75,1,0,1.5953,1
69,2,21,90,1,1,0.36975,1
70,1,15,65,0.5,0,0.74647,0
71,2,21,18,0.068,1,1.1031,0
72,1,4,65,0.068,0,1.7568,1
73,2,21,18,0.5,0,1.1895,1
74,1,18,90,0.068,0,3.2062,0
75,1,7,25,0.068,0,0.85562,1
76,1,7,35,0.068,0,2.5455,1
77,2,15,35,0.068,1,0.67129,0
78,2,15,75,0.068,1,0.53851,1
79,2,7,65,0.068,1,0.54422,1
80,2,10,75,0.068,1,0.61877,1
81,2,18,18,0.5,0,0.31532,1
82,2,18,35,0.5,0,1.1753,1
83,1,18,75,1,1,2.0561,1
84,1,21,90,1,1,1.1339,1
85,1,21,18,0.068,1,1.5166,1
86,2,10,25,0.068,0,3.6627,1
87,2,7,25,0.068,0,2.8976,1
88,2,15,65,1,1,0.89453,1
89,2,4,65,0.068,1,1.2878,1
90,2,10,75,0.5,1,0.75946,1
91,1,21,18,0.5,0,0.40873,0
92,2,18,75,0.5,1,0.44778,1
93,1,15,35,0.068,1,1.0952,1
94,1,15,75,0.068,1,0.68372,1
95,2,21,18,0.5,0,0.95548,1
96,1,7,65,0.068,0,2.0202,1
97,2,15,90,0.5,1,0.3636,1
98,2,21,18,0.068,0,0.71193,1
99,1,10,75,0.068,0,1.4439,1
100,1,18,18,0.5,1,1.6397,1
101,1,18,35,0.5,0,0.72618,0
102,1,10,25,0.068,0,3.9142,1
103,1,7,25,0.068,0,0.93749,1
104,1,15,65,1,1,1.9435,1
105,1,4,65,0.068,0,0.87113,1
106,1,10,75,0.5,0,1.8248,1
107,2,10,18,0.068,0,0.92908,1
108,1,18,75,0.5,1,0.93918,1
109,2,15,75,1,1,0.75879,1
110,2,7,90,0.068,1,0.61883,1
111,1,21,18,0.5,1,0.85895,1
112,2,7,25,0.5,0,0.79568,1
113,1,15,90,0.5,1,0.72149,1
114,2,15,25,1,0,1.1408,1
115,1,21,18,0.068,1,1.6555,1
116,1,10,18,0.068,1,2.3533,0
117,1,15,75,1,1,1.3694,1
118,2,7,25,1,0,1.0478,1
119,1,7,90,0.068,1,2.304,0
120,2,10,35,0.5,1,2.041,0
121,2,10,25,1,0,0.85807,1
122,2,21,25,0.5,0,2.9914,1
123,2,4,65,0.5,1,0.3083,1
124,1,7,25,0.5,1,1.3588,0
125,2,21,90,1,1,0.34997,1
126,2,4,90,0.5,0,1.6492,0
127,2,18,18,0.068,0,1.7649,1
128,2,10,25,0.5,0,0.84724,1
129,1,15,25,1,1,1.3892,1
130,1,7,25,1,0,0.67488,1
131,1,10,35,0.5,1,0.79309,0
132,1,10,25,1,1,3.5508,0
133,1,21,25,0.5,1,1.1456,1
134,1,4,65,0.5,0,5.0761,1
135,1,21,90,1,1,4.9295,1
136,1,4,90,0.5,0,0.85738,1
137,2,10,75,0.5,1,3.2219,1
138,2,18,35,1,0,4.4724,1
139,1,18,18,0.068,1,2.1317,1
140,1,10,25,0.5,0,0.70463,1
141,1,10,75,0.5,0,1.1583,1
142,1,18,35,1,1,0.28926,1
143,1,4,65,1,0,0.79068,1
144,1,7,90,1,1,7.3722,0
145,1,7,35,1,0,1.0044,1
146,1,21,90,0.5,1,0.30354,1
147,2,4,65,1,0,1.0074,0
148,1,4,65,1,0,1.6922,1
149,1,15,35,0.5,1,1.1275,1
150,2,7,90,1,1,1.4335,1
151,1,18,90,1,1,0.74123,1
152,2,7,35,1,0,1.3381,1
153,1,7,25,0.5,0,0.44903,1
154,2,21,90,0.5,1,0.32075,1
155,2,4,65,1,0,0.77358,0
156,2,15,35,0.5,0,1.4413,1
157,2,18,90,1,1,0.57223,1
158,2,7,25,0.5,0,0.48747,1
159,2,10,35,0.068,0,1.1589,1
160,1,10,35,0.068,1,1.433,0
161,1,7,35,0.068,0,1.4429,1
162,1,15,25,0.5,0,0.56718,0
163,1,4,90,1,0,1.1467,1
164,1,18,75,0.068,1,2.8085,1
165,1,10,18,0.5,0,1.1177,1
166,1,15,18,0.068,1,0.63598,1
167,2,7,35,0.068,1,1.4002,0
168,2,15,25,0.5,0,1.0679,1
169,2,4,90,1,1,0.35838,1
170,2,18,75,0.068,1,0.66425,1
171,1,15,18,1,1,1.1391,1
172,1,7,35,1,0,1.2391,1
173,2,10,18,0.5,0,0.99971,1
174,2,15,18,0.068,1,1.0952,0
175,2,15,18,1,0,0.95624,1
176,2,7,35,1,1,0.47431,0
177,1,10,35,1,1,1.4932,0
178,2,10,35,1,1,1.0831,0
179,1,4,65,0.068,1,0.56331,0
180,1,15,90,0.068,1,0.41503,1
181,1,4,75,0.5,0,0.92995,1
182,1,18,35,0.068,1,2.8964,1
183,2,4,65,0.068,1,2.2834,1
184,1,21,25,1,0,0.8836,0
185,1,18,65,1,1,1.3458,1
186,2,15,90,0.068,1,0.63709,1
187,1,4,65,0.5,0,0.5403,1
188,1,21,90,0.068,1,1.1385,1
189,1,10,18,1,0,0.010285,1
190,1,21,18,1,1,3.0698,1
191,2,4,75,0.5,1,2.1808,1
192,2,18,35,0.068,1,0.76941,0
193,2,21,25,1,0,0.71914,1
194,2,18,65,1,1,0.7083,1
195,2,4,65,0.5,0,0.47574,0
196,2,21,90,0.068,1,0.49085,1
197,1,18,35,0.5,1,1.0925,1
198,1,15,35,1,1,1.2751,1
199,1,10,25,1,0,0.40572,1
200,1,10,25,0.5,0,1.2,1
201,1,15,75,0.5,1,1.3696,1
202,2,10,18,1,0,0.32065,1
203,2,21,18,1,0,1.0191,1
204,2,18,35,0.5,0,0.91753,1
205,2,15,35,1,1,0.57547,0
206,2,10,25,1,0,1.1079,1
207,2,10,25,0.5,0,0.92005,1
208,1,18,90,0.5,1,0.33648,1
209,1,4,75,0.068,1,0.47492,0
210,2,15,75,0.5,1,1.3025,1
211,2,18,90,0.5,1,0.79613,1
212,1,7,25,1,0,1.9061,1
213,2,4,75,0.068,1,0.83349,1
214,1,21,25,0.068,1,0.82489,1
215,2,7,25,1,1,3.5887,0
216,2,21,25,0.068,1,1.8305,0
